Entity_0:  -> created,  at 0
Entity_26:replaced -> PositionComponent, fields[ x - 55.93236 y - 34.23212 ] at 6920.2214
Entity_23:replaced -> PositionComponent, fields[ x - 45.79849 y - 24.49087 ] at 6920.2214
Entity_24:replaced -> PositionComponent, fields[ x - 46.99738 y - -3.523315 ] at 6920.2214
Entity_25:replaced -> PositionComponent, fields[ x - 54.01084 y - 27.85364 ] at 6920.2214
Entity_19:replaced -> PositionComponent, fields[ x - 75.5 y - -17 ] at 6920.2214
Entity_13:replaced -> PositionComponent, fields[ x - -11.81397 y - -34.31194 ] at 6935.8489
Entity_3:replaced -> PositionComponent, fields[ x - -30.68851 y - 37.17181 ] at 6935.8489
Entity_21:replaced -> PositionComponent, fields[ x - 8.883234 y - -31.59732 ] at 6935.8489
Entity_5:replaced -> PositionComponent, fields[ x - 9.021133 y - 14.18685 ] at 6935.8489
Entity_26:replaced -> PositionComponent, fields[ x - 55.25442 y - 34.23212 ] at 6935.8489
Entity_23:replaced -> PositionComponent, fields[ x - 45.62316 y - 24.49087 ] at 6935.8489
Entity_24:replaced -> PositionComponent, fields[ x - 46.82851 y - -3.523315 ] at 6935.8489
Entity_25:replaced -> PositionComponent, fields[ x - 53.15524 y - 27.85364 ] at 6935.8489
Entity_19:replaced -> PositionComponent, fields[ x - 76 y - -17 ] at 6935.8489
Entity_13:replaced -> PositionComponent, fields[ x - -12.03494 y - -34.31194 ] at 6951.4729
Entity_3:replaced -> PositionComponent, fields[ x - -30.91079 y - 37.17181 ] at 6951.4729
Entity_21:replaced -> PositionComponent, fields[ x - 8.537849 y - -31.59732 ] at 6951.4729
Entity_5:replaced -> PositionComponent, fields[ x - 8.895571 y - 14.18685 ] at 6951.4729
Entity_26:replaced -> PositionComponent, fields[ x - 54.57648 y - 34.23212 ] at 6951.4729
Entity_23:replaced -> PositionComponent, fields[ x - 45.44783 y - 24.49087 ] at 6951.4729
Entity_24:replaced -> PositionComponent, fields[ x - 46.65965 y - -3.523315 ] at 6951.4729
Entity_25:replaced -> PositionComponent, fields[ x - 52.29965 y - 27.85364 ] at 6951.4729
Entity_19:replaced -> PositionComponent, fields[ x - 76.5 y - -17 ] at 6951.4729
Entity_13:replaced -> PositionComponent, fields[ x - -12.2559 y - -34.31194 ] at 6967.097
Entity_3:replaced -> PositionComponent, fields[ x - -31.13307 y - 37.17181 ] at 6967.097
Entity_21:replaced -> PositionComponent, fields[ x - 8.192465 y - -31.59732 ] at 6967.097
Entity_5:replaced -> PositionComponent, fields[ x - 8.770008 y - 14.18685 ] at 6967.097
Entity_26:replaced -> PositionComponent, fields[ x - 53.89854 y - 34.23212 ] at 6967.097
Entity_23:replaced -> PositionComponent, fields[ x - 45.27251 y - 24.49087 ] at 6967.097
Entity_24:replaced -> PositionComponent, fields[ x - 46.49078 y - -3.523315 ] at 6967.097
Entity_25:replaced -> PositionComponent, fields[ x - 51.44405 y - 27.85364 ] at 6967.097
Entity_19:replaced -> PositionComponent, fields[ x - 77 y - -17 ] at 6967.097
Entity_13:replaced -> PositionComponent, fields[ x - -12.47687 y - -34.31194 ] at 6982.7245
Entity_3:replaced -> PositionComponent, fields[ x - -31.35534 y - 37.17181 ] at 6982.7245
Entity_21:replaced -> PositionComponent, fields[ x - 7.84708 y - -31.59732 ] at 6982.7245
Entity_5:replaced -> PositionComponent, fields[ x - 8.644445 y - 14.18685 ] at 6982.7245
Entity_26:replaced -> PositionComponent, fields[ x - 53.2206 y - 34.23212 ] at 6982.7245
Entity_23:replaced -> PositionComponent, fields[ x - 45.09718 y - 24.49087 ] at 6982.7245
Entity_24:replaced -> PositionComponent, fields[ x - 46.32192 y - -3.523315 ] at 6982.7245
Entity_25:replaced -> PositionComponent, fields[ x - 50.58846 y - 27.85364 ] at 6982.7245
Entity_19:replaced -> PositionComponent, fields[ x - 77.5 y - -17 ] at 6982.7245
Entity_13:replaced -> PositionComponent, fields[ x - -12.69783 y - -34.31194 ] at 6998.3502
Entity_3:replaced -> PositionComponent, fields[ x - -31.57762 y - 37.17181 ] at 6998.3502
Entity_21:replaced -> PositionComponent, fields[ x - 7.501696 y - -31.59732 ] at 6998.3502
Entity_5:replaced -> PositionComponent, fields[ x - 8.518883 y - 14.18685 ] at 6998.3502
Entity_26:replaced -> PositionComponent, fields[ x - 52.54266 y - 34.23212 ] at 6998.3502
Entity_23:replaced -> PositionComponent, fields[ x - 44.92185 y - 24.49087 ] at 6998.3502
Entity_24:replaced -> PositionComponent, fields[ x - 46.15305 y - -3.523315 ] at 6998.3502
Entity_25:replaced -> PositionComponent, fields[ x - 49.73286 y - 27.85364 ] at 6998.3502
Entity_19:replaced -> PositionComponent, fields[ x - 78 y - -17 ] at 6998.3502
Entity_13:replaced -> PositionComponent, fields[ x - -12.9188 y - -34.31194 ] at 7013.976
Entity_3:replaced -> PositionComponent, fields[ x - -31.7999 y - 37.17181 ] at 7013.976
Entity_21:replaced -> PositionComponent, fields[ x - 7.156311 y - -31.59732 ] at 7013.976
Entity_5:replaced -> PositionComponent, fields[ x - 8.39332 y - 14.18685 ] at 7013.976
Entity_26:replaced -> PositionComponent, fields[ x - 51.86472 y - 34.23212 ] at 7013.976
Entity_23:replaced -> PositionComponent, fields[ x - 44.74652 y - 24.49087 ] at 7013.976
Entity_24:replaced -> PositionComponent, fields[ x - 45.98419 y - -3.523315 ] at 7013.976
Entity_25:replaced -> PositionComponent, fields[ x - 48.87727 y - 27.85364 ] at 7013.976
Entity_19:replaced -> PositionComponent, fields[ x - 78.5 y - -17 ] at 7013.976
Entity_13:replaced -> PositionComponent, fields[ x - -13.13976 y - -34.31194 ] at 7029.6022
Entity_3:replaced -> PositionComponent, fields[ x - -32.02217 y - 37.17181 ] at 7029.6022
Entity_21:replaced -> PositionComponent, fields[ x - 6.810926 y - -31.59732 ] at 7029.6022
Entity_5:replaced -> PositionComponent, fields[ x - 8.267757 y - 14.18685 ] at 7029.6022
Entity_26:replaced -> PositionComponent, fields[ x - 51.18678 y - 34.23212 ] at 7029.6022
Entity_23:replaced -> PositionComponent, fields[ x - 44.5712 y - 24.49087 ] at 7029.6022
Entity_24:replaced -> PositionComponent, fields[ x - 45.81532 y - -3.523315 ] at 7029.6022
Entity_25:replaced -> PositionComponent, fields[ x - 48.02168 y - 27.85364 ] at 7029.6022
Entity_19:replaced -> PositionComponent, fields[ x - 79 y - -17 ] at 7029.6022
Entity_13:replaced -> PositionComponent, fields[ x - -13.36073 y - -34.31194 ] at 7045.2292
Entity_3:replaced -> PositionComponent, fields[ x - -32.24445 y - 37.17181 ] at 7045.2292
Entity_21:replaced -> PositionComponent, fields[ x - 6.465542 y - -31.59732 ] at 7045.2292
Entity_5:replaced -> PositionComponent, fields[ x - 8.142195 y - 14.18685 ] at 7045.2292
Entity_26:replaced -> PositionComponent, fields[ x - 50.50883 y - 34.23212 ] at 7045.2292
Entity_23:replaced -> PositionComponent, fields[ x - 44.39587 y - 24.49087 ] at 7045.2292
Entity_24:replaced -> PositionComponent, fields[ x - 45.64646 y - -3.523315 ] at 7045.2292
Entity_25:replaced -> PositionComponent, fields[ x - 47.16608 y - 27.85364 ] at 7045.2292
Entity_19:replaced -> PositionComponent, fields[ x - 79.5 y - -17 ] at 7045.2292
Entity_13:replaced -> PositionComponent, fields[ x - -13.5817 y - -34.31194 ] at 7076.4807
Entity_3:replaced -> PositionComponent, fields[ x - -32.46672 y - 37.17181 ] at 7076.4807
Entity_21:replaced -> PositionComponent, fields[ x - 6.120157 y - -31.59732 ] at 7076.4807
Entity_5:replaced -> PositionComponent, fields[ x - 8.016632 y - 14.18685 ] at 7076.4807
Entity_26:replaced -> PositionComponent, fields[ x - 49.83089 y - 34.23212 ] at 7076.4807
Entity_23:replaced -> PositionComponent, fields[ x - 44.22054 y - 24.49087 ] at 7076.4807
Entity_24:replaced -> PositionComponent, fields[ x - 45.47759 y - -3.523315 ] at 7076.4807
Entity_25:replaced -> PositionComponent, fields[ x - 46.31049 y - 27.85364 ] at 7076.4807
Entity_19:replaced -> PositionComponent, fields[ x - 80 y - -17 ] at 7076.4807
Entity_13:replaced -> PositionComponent, fields[ x - -13.80266 y - -34.31194 ] at 7076.4807
Entity_3:replaced -> PositionComponent, fields[ x - -32.689 y - 37.17181 ] at 7076.4807
Entity_21:replaced -> PositionComponent, fields[ x - 5.774773 y - -31.59732 ] at 7076.4807
Entity_5:replaced -> PositionComponent, fields[ x - 7.891069 y - 14.18685 ] at 7076.4807
Entity_26:replaced -> PositionComponent, fields[ x - 49.15295 y - 34.23212 ] at 7076.4807
Entity_23:replaced -> PositionComponent, fields[ x - 44.04522 y - 24.49087 ] at 7076.4807
Entity_24:replaced -> PositionComponent, fields[ x - 45.30873 y - -3.523315 ] at 7076.4807
Entity_25:replaced -> PositionComponent, fields[ x - 45.45489 y - 27.85364 ] at 7076.4807
Entity_19:replaced -> PositionComponent, fields[ x - 80.5 y - -17 ] at 7076.4807
Entity_13:replaced -> PositionComponent, fields[ x - -14.02363 y - -34.31194 ] at 7107.7323
Entity_3:replaced -> PositionComponent, fields[ x - -32.91127 y - 37.17181 ] at 7107.7323
Entity_21:replaced -> PositionComponent, fields[ x - 5.429388 y - -31.59732 ] at 7107.7323
Entity_5:replaced -> PositionComponent, fields[ x - 7.765507 y - 14.18685 ] at 7107.7323
Entity_26:replaced -> PositionComponent, fields[ x - 48.47501 y - 34.23212 ] at 7107.7323
Entity_23:replaced -> PositionComponent, fields[ x - 43.86989 y - 24.49087 ] at 7107.7323
Entity_24:replaced -> PositionComponent, fields[ x - 45.13986 y - -3.523315 ] at 7107.7323
Entity_25:replaced -> PositionComponent, fields[ x - 44.5993 y - 27.85364 ] at 7107.7323
Entity_19:replaced -> PositionComponent, fields[ x - 81 y - -17 ] at 7107.7323
Entity_13:replaced -> PositionComponent, fields[ x - -14.24459 y - -34.31194 ] at 7107.7323
Entity_3:replaced -> PositionComponent, fields[ x - -33.13355 y - 37.17181 ] at 7107.7323
Entity_21:replaced -> PositionComponent, fields[ x - 5.084003 y - -31.59732 ] at 7107.7323
Entity_5:replaced -> PositionComponent, fields[ x - 7.639944 y - 14.18685 ] at 7107.7323
Entity_26:replaced -> PositionComponent, fields[ x - 47.79707 y - 34.23212 ] at 7107.7323
Entity_23:replaced -> PositionComponent, fields[ x - 43.69456 y - 24.49087 ] at 7107.7323
Entity_24:replaced -> PositionComponent, fields[ x - 44.971 y - -3.523315 ] at 7107.7323
Entity_25:replaced -> PositionComponent, fields[ x - 43.7437 y - 27.85364 ] at 7107.7323
Entity_19:replaced -> PositionComponent, fields[ x - 81.5 y - -17 ] at 7107.7323
Entity_13:replaced -> PositionComponent, fields[ x - -14.46556 y - -34.31194 ] at 7138.9846
Entity_3:replaced -> PositionComponent, fields[ x - -33.35582 y - 37.17181 ] at 7138.9846
Entity_21:replaced -> PositionComponent, fields[ x - 4.738619 y - -31.59732 ] at 7138.9846
Entity_5:replaced -> PositionComponent, fields[ x - 7.514381 y - 14.18685 ] at 7138.9846
Entity_26:replaced -> PositionComponent, fields[ x - 47.11913 y - 34.23212 ] at 7138.9846
Entity_23:replaced -> PositionComponent, fields[ x - 43.51923 y - 24.49087 ] at 7138.9846
Entity_24:replaced -> PositionComponent, fields[ x - 44.80213 y - -3.523315 ] at 7138.9846
Entity_25:replaced -> PositionComponent, fields[ x - 42.88811 y - 27.85364 ] at 7138.9846
Entity_19:replaced -> PositionComponent, fields[ x - 82 y - -17 ] at 7138.9846
Entity_13:replaced -> PositionComponent, fields[ x - -14.68652 y - -34.31194 ] at 7138.9846
Entity_3:replaced -> PositionComponent, fields[ x - -33.5781 y - 37.17181 ] at 7138.9846
Entity_21:replaced -> PositionComponent, fields[ x - 4.393234 y - -31.59732 ] at 7138.9846
Entity_5:replaced -> PositionComponent, fields[ x - 7.388819 y - 14.18685 ] at 7138.9846
Entity_26:replaced -> PositionComponent, fields[ x - 46.44119 y - 34.23212 ] at 7138.9846
Entity_23:replaced -> PositionComponent, fields[ x - 43.34391 y - 24.49087 ] at 7138.9846
Entity_24:replaced -> PositionComponent, fields[ x - 44.63327 y - -3.523315 ] at 7138.9846
Entity_25:replaced -> PositionComponent, fields[ x - 42.03251 y - 27.85364 ] at 7138.9846
Entity_19:replaced -> PositionComponent, fields[ x - 82.5 y - -17 ] at 7138.9846
Entity_13:replaced -> PositionComponent, fields[ x - -14.90749 y - -34.31194 ] at 7170.234
Entity_3:replaced -> PositionComponent, fields[ x - -33.80037 y - 37.17181 ] at 7170.234
Entity_21:replaced -> PositionComponent, fields[ x - 4.04785 y - -31.59732 ] at 7170.234
Entity_5:replaced -> PositionComponent, fields[ x - 7.263256 y - 14.18685 ] at 7170.234
Entity_26:replaced -> PositionComponent, fields[ x - 45.76325 y - 34.23212 ] at 7170.234
Entity_23:replaced -> PositionComponent, fields[ x - 43.16858 y - 24.49087 ] at 7170.234
Entity_24:replaced -> PositionComponent, fields[ x - 44.4644 y - -3.523315 ] at 7170.234
Entity_25:replaced -> PositionComponent, fields[ x - 41.17692 y - 27.85364 ] at 7170.234
Entity_19:replaced -> PositionComponent, fields[ x - 83 y - -17 ] at 7170.234
Entity_13:replaced -> PositionComponent, fields[ x - -15.12845 y - -34.31194 ] at 7185.8615
Entity_3:replaced -> PositionComponent, fields[ x - -34.02265 y - 37.17181 ] at 7185.8615
Entity_21:replaced -> PositionComponent, fields[ x - 3.702465 y - -31.59732 ] at 7185.8615
Entity_5:replaced -> PositionComponent, fields[ x - 7.137693 y - 14.18685 ] at 7185.8615
Entity_26:replaced -> PositionComponent, fields[ x - 45.08531 y - 34.23212 ] at 7185.8615
Entity_23:replaced -> PositionComponent, fields[ x - 42.99325 y - 24.49087 ] at 7185.8615
Entity_24:replaced -> PositionComponent, fields[ x - 44.29554 y - -3.523315 ] at 7185.8615
Entity_25:replaced -> PositionComponent, fields[ x - 40.32132 y - 27.85364 ] at 7185.8615
Entity_19:replaced -> PositionComponent, fields[ x - 83.5 y - -17 ] at 7185.8615
Entity_13:replaced -> PositionComponent, fields[ x - -15.34942 y - -34.31194 ] at 7201.4855
Entity_3:replaced -> PositionComponent, fields[ x - -34.24492 y - 37.17181 ] at 7201.4855
Entity_21:replaced -> PositionComponent, fields[ x - 3.35708 y - -31.59732 ] at 7201.4855
Entity_5:replaced -> PositionComponent, fields[ x - 7.012131 y - 14.18685 ] at 7201.4855
Entity_26:replaced -> PositionComponent, fields[ x - 44.40737 y - 34.23212 ] at 7201.4855
Entity_23:replaced -> PositionComponent, fields[ x - 42.81792 y - 24.49087 ] at 7201.4855
Entity_24:replaced -> PositionComponent, fields[ x - 44.12667 y - -3.523315 ] at 7201.4855
Entity_25:replaced -> PositionComponent, fields[ x - 39.46573 y - 27.85364 ] at 7201.4855
Entity_19:replaced -> PositionComponent, fields[ x - 84 y - -17 ] at 7201.4855
Entity_13:replaced -> PositionComponent, fields[ x - -15.57038 y - -34.31194 ] at 7217.11
Entity_3:replaced -> PositionComponent, fields[ x - -34.4672 y - 37.17181 ] at 7217.11
Entity_21:replaced -> PositionComponent, fields[ x - 3.011696 y - -31.59732 ] at 7217.11
Entity_5:replaced -> PositionComponent, fields[ x - 6.886568 y - 14.18685 ] at 7217.11
Entity_26:replaced -> PositionComponent, fields[ x - 43.72943 y - 34.23212 ] at 7217.11
Entity_23:replaced -> PositionComponent, fields[ x - 42.6426 y - 24.49087 ] at 7217.11
Entity_24:replaced -> PositionComponent, fields[ x - 43.95781 y - -3.523315 ] at 7217.11
Entity_25:replaced -> PositionComponent, fields[ x - 38.61013 y - 27.85364 ] at 7217.11
Entity_19:replaced -> PositionComponent, fields[ x - 84.5 y - -17 ] at 7217.11
Entity_13:replaced -> PositionComponent, fields[ x - -15.79135 y - -34.31194 ] at 7232.7366
Entity_3:replaced -> PositionComponent, fields[ x - -34.68947 y - 37.17181 ] at 7232.7366
Entity_21:replaced -> PositionComponent, fields[ x - 2.666311 y - -31.59732 ] at 7232.7366
Entity_5:replaced -> PositionComponent, fields[ x - 6.761005 y - 14.18685 ] at 7232.7366
Entity_26:replaced -> PositionComponent, fields[ x - 43.05149 y - 34.23212 ] at 7232.7366
Entity_23:replaced -> PositionComponent, fields[ x - 42.46727 y - 24.49087 ] at 7232.7366
Entity_24:replaced -> PositionComponent, fields[ x - 43.78894 y - -3.523315 ] at 7232.7366
Entity_25:replaced -> PositionComponent, fields[ x - 37.75454 y - 27.85364 ] at 7232.7366
Entity_19:replaced -> PositionComponent, fields[ x - 85 y - -17 ] at 7232.7366
Entity_13:replaced -> PositionComponent, fields[ x - -16.01232 y - -34.31194 ] at 7248.3624
Entity_3:replaced -> PositionComponent, fields[ x - -34.91175 y - 37.17181 ] at 7248.3624
Entity_21:replaced -> PositionComponent, fields[ x - 2.320927 y - -31.59732 ] at 7248.3624
Entity_5:replaced -> PositionComponent, fields[ x - 6.635443 y - 14.18685 ] at 7248.3624
Entity_26:replaced -> PositionComponent, fields[ x - 42.37355 y - 34.23212 ] at 7248.3624
Entity_23:replaced -> PositionComponent, fields[ x - 42.29194 y - 24.49087 ] at 7248.3624
Entity_24:replaced -> PositionComponent, fields[ x - 43.62008 y - -3.523315 ] at 7248.3624
Entity_25:replaced -> PositionComponent, fields[ x - 36.89894 y - 27.85364 ] at 7248.3624
Entity_19:replaced -> PositionComponent, fields[ x - 85.5 y - -17 ] at 7248.3624
Entity_27:  -> created,  at 7263.9882
Entity_27:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_27(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 7263.9882
Entity_27:added -> BulletComponent,  at 7263.9882
Entity_27:added -> GameObjectComponent, fields[ gameObject - Bullet(Clone) (UnityEngine.GameObject) ] at 7263.9882
Entity_27:added -> PositionComponent, fields[ x - -40 y - 9 ] at 7263.9882
Entity_13:replaced -> PositionComponent, fields[ x - -16.23328 y - -34.31194 ] at 7263.9882
Entity_3:replaced -> PositionComponent, fields[ x - -35.13402 y - 37.17181 ] at 7263.9882
Entity_21:replaced -> PositionComponent, fields[ x - 1.975542 y - -31.59732 ] at 7263.9882
Entity_5:replaced -> PositionComponent, fields[ x - 6.50988 y - 14.18685 ] at 7263.9882
Entity_26:replaced -> PositionComponent, fields[ x - 41.69561 y - 34.23212 ] at 7263.9882
Entity_23:replaced -> PositionComponent, fields[ x - 42.11662 y - 24.49087 ] at 7263.9882
Entity_24:replaced -> PositionComponent, fields[ x - 43.45121 y - -3.523315 ] at 7263.9882
Entity_25:replaced -> PositionComponent, fields[ x - 36.04335 y - 27.85364 ] at 7263.9882
Entity_27:replaced -> PositionComponent, fields[ x - -39.5 y - 9 ] at 7263.9882
Entity_19:replaced -> PositionComponent, fields[ x - 86 y - -17 ] at 7263.9882
Entity_13:replaced -> PositionComponent, fields[ x - -16.45425 y - -34.31194 ] at 7279.6144
Entity_3:replaced -> PositionComponent, fields[ x - -35.3563 y - 37.17181 ] at 7279.6144
Entity_21:replaced -> PositionComponent, fields[ x - 1.630157 y - -31.59732 ] at 7279.6144
Entity_5:replaced -> PositionComponent, fields[ x - 6.384317 y - 14.18685 ] at 7279.6144
Entity_26:replaced -> PositionComponent, fields[ x - 41.01767 y - 34.23212 ] at 7279.6144
Entity_23:replaced -> PositionComponent, fields[ x - 41.94129 y - 24.49087 ] at 7279.6144
Entity_24:replaced -> PositionComponent, fields[ x - 43.28234 y - -3.523315 ] at 7279.6144
Entity_25:replaced -> PositionComponent, fields[ x - 35.18776 y - 27.85364 ] at 7279.6144
Entity_27:replaced -> PositionComponent, fields[ x - -39 y - 9 ] at 7279.6144
Entity_19:replaced -> PositionComponent, fields[ x - 86.5 y - -17 ] at 7279.6144
Entity_13:replaced -> PositionComponent, fields[ x - -16.67521 y - -34.31194 ] at 7310.8646
Entity_3:replaced -> PositionComponent, fields[ x - -35.57857 y - 37.17181 ] at 7310.8646
Entity_21:replaced -> PositionComponent, fields[ x - 1.284773 y - -31.59732 ] at 7310.8646
Entity_5:replaced -> PositionComponent, fields[ x - 6.258755 y - 14.18685 ] at 7310.8646
Entity_26:replaced -> PositionComponent, fields[ x - 40.33973 y - 34.23212 ] at 7310.8646
Entity_23:replaced -> PositionComponent, fields[ x - 41.76596 y - 24.49087 ] at 7310.8646
Entity_24:replaced -> PositionComponent, fields[ x - 43.11348 y - -3.523315 ] at 7310.8646
Entity_25:replaced -> PositionComponent, fields[ x - 34.33216 y - 27.85364 ] at 7310.8646
Entity_27:replaced -> PositionComponent, fields[ x - -38.5 y - 9 ] at 7310.8646
Entity_19:replaced -> PositionComponent, fields[ x - 87 y - -17 ] at 7310.8646
Entity_13:replaced -> PositionComponent, fields[ x - -16.89618 y - -34.31194 ] at 7310.8646
Entity_3:replaced -> PositionComponent, fields[ x - -35.80085 y - 37.17181 ] at 7310.8646
Entity_21:replaced -> PositionComponent, fields[ x - 0.9393883 y - -31.59732 ] at 7310.8646
Entity_5:replaced -> PositionComponent, fields[ x - 6.133192 y - 14.18685 ] at 7310.8646
Entity_26:replaced -> PositionComponent, fields[ x - 39.66179 y - 34.23212 ] at 7310.8646
Entity_23:replaced -> PositionComponent, fields[ x - 41.59063 y - 24.49087 ] at 7310.8646
Entity_24:replaced -> PositionComponent, fields[ x - 42.94461 y - -3.523315 ] at 7310.8646
Entity_25:replaced -> PositionComponent, fields[ x - 33.47657 y - 27.85364 ] at 7310.8646
Entity_27:replaced -> PositionComponent, fields[ x - -38 y - 9 ] at 7310.8646
Entity_19:replaced -> PositionComponent, fields[ x - 87.5 y - -17 ] at 7310.8646
Entity_13:replaced -> PositionComponent, fields[ x - -17.11715 y - -34.31194 ] at 7342.1187
Entity_3:replaced -> PositionComponent, fields[ x - -36.02312 y - 37.17181 ] at 7342.1187
Entity_21:replaced -> PositionComponent, fields[ x - 0.5940038 y - -31.59732 ] at 7342.1187
Entity_5:replaced -> PositionComponent, fields[ x - 6.007629 y - 14.18685 ] at 7342.1187
Entity_26:replaced -> PositionComponent, fields[ x - 38.98385 y - 34.23212 ] at 7342.1187
Entity_23:replaced -> PositionComponent, fields[ x - 41.41531 y - 24.49087 ] at 7342.1187
Entity_24:replaced -> PositionComponent, fields[ x - 42.77575 y - -3.523315 ] at 7342.1187
Entity_25:replaced -> PositionComponent, fields[ x - 32.62097 y - 27.85364 ] at 7342.1187
Entity_27:replaced -> PositionComponent, fields[ x - -37.5 y - 9 ] at 7342.1187
Entity_19:replaced -> PositionComponent, fields[ x - 88 y - -17 ] at 7342.1187
Entity_13:replaced -> PositionComponent, fields[ x - -17.33811 y - -34.31194 ] at 7357.7444
Entity_3:replaced -> PositionComponent, fields[ x - -36.2454 y - 37.17181 ] at 7357.7444
Entity_21:replaced -> PositionComponent, fields[ x - 0.2486193 y - -31.59732 ] at 7357.7444
Entity_5:replaced -> PositionComponent, fields[ x - 5.882067 y - 14.18685 ] at 7357.7444
Entity_26:replaced -> PositionComponent, fields[ x - 38.30591 y - 34.23212 ] at 7357.7444
Entity_23:replaced -> PositionComponent, fields[ x - 41.23998 y - 24.49087 ] at 7357.7444
Entity_24:replaced -> PositionComponent, fields[ x - 42.60688 y - -3.523315 ] at 7357.7444
Entity_25:replaced -> PositionComponent, fields[ x - 31.76538 y - 27.85364 ] at 7357.7444
Entity_27:replaced -> PositionComponent, fields[ x - -37 y - 9 ] at 7357.7444
Entity_19:replaced -> PositionComponent, fields[ x - 88.5 y - -17 ] at 7357.7444
Entity_13:replaced -> PositionComponent, fields[ x - -17.55908 y - -34.31194 ] at 7373.46
Entity_3:replaced -> PositionComponent, fields[ x - -36.46767 y - 37.17181 ] at 7373.46
Entity_21:replaced -> PositionComponent, fields[ x - -0.09676528 y - -31.59732 ] at 7373.46
Entity_5:replaced -> PositionComponent, fields[ x - 5.756504 y - 14.18685 ] at 7373.46
Entity_26:replaced -> PositionComponent, fields[ x - 37.62797 y - 34.23212 ] at 7373.46
Entity_23:replaced -> PositionComponent, fields[ x - 41.06465 y - 24.49087 ] at 7373.46
Entity_24:replaced -> PositionComponent, fields[ x - 42.43802 y - -3.523315 ] at 7373.46
Entity_25:replaced -> PositionComponent, fields[ x - 30.90978 y - 27.85364 ] at 7373.46
Entity_27:replaced -> PositionComponent, fields[ x - -36.5 y - 9 ] at 7373.46
Entity_19:replaced -> PositionComponent, fields[ x - 89 y - -17 ] at 7373.46
Entity_13:replaced -> PositionComponent, fields[ x - -17.78005 y - -34.31194 ] at 7388.9943
Entity_3:replaced -> PositionComponent, fields[ x - -36.68995 y - 37.17181 ] at 7388.9943
Entity_21:replaced -> PositionComponent, fields[ x - -0.4421498 y - -31.59732 ] at 7388.9943
Entity_5:replaced -> PositionComponent, fields[ x - 5.630941 y - 14.18685 ] at 7388.9943
Entity_26:replaced -> PositionComponent, fields[ x - 36.95003 y - 34.23212 ] at 7388.9943
Entity_23:replaced -> PositionComponent, fields[ x - 40.88932 y - 24.49087 ] at 7388.9943
Entity_24:replaced -> PositionComponent, fields[ x - 42.26915 y - -3.523315 ] at 7388.9943
Entity_25:replaced -> PositionComponent, fields[ x - 30.05418 y - 27.85364 ] at 7388.9943
Entity_27:replaced -> PositionComponent, fields[ x - -36 y - 9 ] at 7388.9943
Entity_19:replaced -> PositionComponent, fields[ x - 89.5 y - -17 ] at 7388.9943
Entity_13:replaced -> PositionComponent, fields[ x - -18.00101 y - -34.31194 ] at 7404.635
Entity_3:replaced -> PositionComponent, fields[ x - -36.91222 y - 37.17181 ] at 7404.635
Entity_21:replaced -> PositionComponent, fields[ x - -0.7875344 y - -31.59732 ] at 7404.635
Entity_5:replaced -> PositionComponent, fields[ x - 5.505379 y - 14.18685 ] at 7404.635
Entity_26:replaced -> PositionComponent, fields[ x - 36.27209 y - 34.23212 ] at 7404.635
Entity_23:replaced -> PositionComponent, fields[ x - 40.714 y - 24.49087 ] at 7404.635
Entity_24:replaced -> PositionComponent, fields[ x - 42.10029 y - -3.523315 ] at 7404.635
Entity_25:replaced -> PositionComponent, fields[ x - 29.19859 y - 27.85364 ] at 7404.635
Entity_27:replaced -> PositionComponent, fields[ x - -35.5 y - 9 ] at 7404.635
Entity_19:replaced -> PositionComponent, fields[ x - 90 y - -17 ] at 7404.635
Entity_13:replaced -> PositionComponent, fields[ x - -18.22198 y - -34.31194 ] at 7420.2642
Entity_3:replaced -> PositionComponent, fields[ x - -37.13449 y - 37.17181 ] at 7420.2642
Entity_21:replaced -> PositionComponent, fields[ x - -1.132919 y - -31.59732 ] at 7420.2642
Entity_5:replaced -> PositionComponent, fields[ x - 5.379816 y - 14.18685 ] at 7420.2642
Entity_26:replaced -> PositionComponent, fields[ x - 35.59415 y - 34.23212 ] at 7420.2642
Entity_23:replaced -> PositionComponent, fields[ x - 40.53867 y - 24.49087 ] at 7420.2642
Entity_24:replaced -> PositionComponent, fields[ x - 41.93142 y - -3.523315 ] at 7420.2642
Entity_25:replaced -> PositionComponent, fields[ x - 28.34299 y - 27.85364 ] at 7420.2642
Entity_27:replaced -> PositionComponent, fields[ x - -35 y - 9 ] at 7420.2642
Entity_19:replaced -> PositionComponent, fields[ x - 90.5 y - -17 ] at 7420.2642
Entity_13:replaced -> PositionComponent, fields[ x - -18.44295 y - -34.31194 ] at 7435.8899
Entity_3:replaced -> PositionComponent, fields[ x - -37.35677 y - 37.17181 ] at 7435.8899
Entity_21:replaced -> PositionComponent, fields[ x - -1.478303 y - -31.59732 ] at 7435.8899
Entity_5:replaced -> PositionComponent, fields[ x - 5.254253 y - 14.18685 ] at 7435.8899
Entity_26:replaced -> PositionComponent, fields[ x - 34.91621 y - 34.23212 ] at 7435.8899
Entity_23:replaced -> PositionComponent, fields[ x - 40.36334 y - 24.49087 ] at 7435.8899
