Entity_0:  -> created,  at 0
Entity_2:replaced -> PositionComponent, fields[ x - 44.63928 y - -12.77165 ] at 359.3925
Entity_3:replaced -> PositionComponent, fields[ x - 56.66588 y - 37.17181 ] at 359.3925
Entity_4:replaced -> PositionComponent, fields[ x - 47.86354 y - 3.774094 ] at 359.3925
Entity_5:replaced -> PositionComponent, fields[ x - 58.36766 y - 14.18685 ] at 359.3925
Entity_6:replaced -> PositionComponent, fields[ x - 53.60239 y - 36.17359 ] at 359.3925
Entity_7:replaced -> PositionComponent, fields[ x - 49.92819 y - -14.22491 ] at 359.3925
Entity_8:replaced -> PositionComponent, fields[ x - 56.29021 y - 35.10654 ] at 359.3925
Entity_9:replaced -> PositionComponent, fields[ x - 56.58191 y - 14.55006 ] at 359.3925
Entity_2:replaced -> PositionComponent, fields[ x - 43.67924 y - -12.77165 ] at 359.3925
Entity_3:replaced -> PositionComponent, fields[ x - 56.4436 y - 37.17181 ] at 359.3925
Entity_4:replaced -> PositionComponent, fields[ x - 46.99665 y - 3.774094 ] at 359.3925
Entity_5:replaced -> PositionComponent, fields[ x - 58.2421 y - 14.18685 ] at 359.3925
Entity_6:replaced -> PositionComponent, fields[ x - 53.06925 y - 36.17359 ] at 359.3925
Entity_7:replaced -> PositionComponent, fields[ x - 49.01257 y - -14.22491 ] at 359.3925
Entity_8:replaced -> PositionComponent, fields[ x - 55.91923 y - 35.10654 ] at 359.3925
Entity_9:replaced -> PositionComponent, fields[ x - 56.20213 y - 14.55006 ] at 359.3925
Entity_2:replaced -> PositionComponent, fields[ x - 42.71919 y - -12.77165 ] at 390.6445
Entity_3:replaced -> PositionComponent, fields[ x - 56.22133 y - 37.17181 ] at 390.6445
Entity_4:replaced -> PositionComponent, fields[ x - 46.12976 y - 3.774094 ] at 390.6445
Entity_5:replaced -> PositionComponent, fields[ x - 58.11653 y - 14.18685 ] at 390.6445
Entity_6:replaced -> PositionComponent, fields[ x - 52.53612 y - 36.17359 ] at 390.6445
Entity_7:replaced -> PositionComponent, fields[ x - 48.09695 y - -14.22491 ] at 390.6445
Entity_8:replaced -> PositionComponent, fields[ x - 55.54825 y - 35.10654 ] at 390.6445
